AccountAgeDays,NumItems,localTime,PaymentMethod,PaymentMethodAgeDays,Label
2000,1,4.06,creditcard,406.55,Good
145,1,4.92,paypal,19.49,Good
2000,1,5.02,creditcard,609.19,Good
168,1,4.52,creditcard,50.65,Good
73,1,4.51,creditcard,0.0,Good
1073,1,4.92,creditcard,49.85,Good
988,1,4.9,creditcard,0.0,Good
612,1,5.02,creditcard,0.0,Good
8,1,4.46,creditcard,0.0,Good
1486,1,4.52,paypal,0.0,Good
90,1,4.88,paypal,0.0,Good
105,1,4.92,paypal,0.0,Good
1726,1,4.06,paypal,0.0,Good
1911,1,4.96,creditcard,0.0,Good
269,1,4.92,creditcard,247.13,Good
141,1,4.51,creditcard,0.0,Good
1593,1,3.95,creditcard,0.0,Good
221,1,4.74,creditcard,216.55,Good
661,1,5.03,creditcard,451.88,Good
2000,1,4.52,creditcard,0.05,Good
527,1,4.9,creditcard,507.53,Good
1084,1,4.9,creditcard,0.0,Good
51,1,4.97,creditcard,0.21,Good
325,1,4.97,creditcard,40.08,Good
67,1,4.52,creditcard,0.0,Good
23,1,4.46,creditcard,22.47,Good
938,1,4.92,creditcard,0.0,Good
738,1,4.92,creditcard,0.01,Good
921,1,4.92,creditcard,16.1,Good
236,2,4.92,paypal,0.0,Good
161,1,4.75,creditcard,160.04,Good
103,4,4.51,paypal,0.0,Good
2000,1,4.9,creditcard,1342.57,Good
1639,1,4.97,creditcard,0.0,Good
1133,1,4.89,creditcard,0.59,Good
1975,1,4.88,paypal,37.35,Good
997,1,5.04,creditcard,717.3,Good
75,1,5.04,creditcard,74.74,Good
2000,1,4.75,creditcard,3.76,Good
512,1,4.74,creditcard,144.59,Good
1992,1,4.92,creditcard,0.0,Good
580,1,4.75,creditcard,0.0,Good
64,1,4.52,paypal,63.8,Good
927,1,2.95,creditcard,579.57,Good
804,1,5.02,creditcard,134.37,Good
20,1,5.04,creditcard,19.95,Good
69,1,4.75,paypal,0.01,Good
1676,1,4.46,creditcard,0.0,Good
2,1,4.84,creditcard,1.86,Good
1585,1,4.75,paypal,0.01,Good
67,1,4.84,creditcard,0.0,Good
682,1,5.02,creditcard,0.0,Good
1624,1,3.48,paypal,523.26,Good
574,1,4.51,creditcard,0.0,Good
1978,1,4.75,creditcard,0.0,Good
65,1,4.75,creditcard,64.08,Good
2000,1,4.89,paypal,918.32,Good
2000,1,4.84,storecredit,765.89,Good
319,1,4.84,creditcard,0.0,Good
31,1,4.97,creditcard,0.0,Good
1224,1,4.74,paypal,697.81,Good
169,2,4.52,creditcard,0.0,Good
74,1,4.92,creditcard,0.0,Good
1082,1,5.02,creditcard,0.0,Good
551,1,5.03,paypal,76.41,Good
8,1,4.89,creditcard,7.69,Good
600,1,4.92,creditcard,0.0,Good
2000,1,4.52,creditcard,1829.28,Good
2000,1,4.96,creditcard,611.79,Good
61,1,4.52,creditcard,55.49,Good
143,1,3.95,creditcard,142.45,Good
2000,1,4.88,paypal,494.8,Good
2000,1,5.02,creditcard,375.1,Good
1956,1,5.02,paypal,0.0,Good
36,1,4.84,creditcard,35.17,Good
2000,1,3.48,creditcard,0.47,Good
217,1,4.51,creditcard,66.2,Good
2000,1,4.96,creditcard,135.72,Good
1961,1,4.51,creditcard,1032.31,Good
952,1,5.03,creditcard,124.78,Good
414,1,4.75,storecredit,333.89,Good
444,1,4.75,creditcard,0.0,Good
2000,1,4.74,paypal,259.13,Good
802,1,5.02,creditcard,100.97,Good
1718,1,4.9,paypal,0.0,Good
84,1,4.75,creditcard,83.16,Good
229,1,4.89,creditcard,228.91,Good
664,1,4.88,paypal,0.0,Good
1103,1,4.84,paypal,0.0,Good
360,1,5.02,paypal,0.0,Good
1171,1,4.97,creditcard,0.0,Good
881,1,4.97,creditcard,0.0,Good
269,1,4.97,storecredit,0.0,Good
1101,1,4.89,creditcard,0.01,Good
62,1,4.75,creditcard,13.9,Good
2000,1,3.48,paypal,123.77,Good
1334,1,5.02,creditcard,0.0,Good
5,1,4.51,storecredit,4.49,Good
904,1,4.52,paypal,0.49,Good
216,1,4.92,creditcard,78.96,Good
478,1,5.03,creditcard,0.0,Good
1487,1,4.75,paypal,256.91,Good
1082,1,4.52,paypal,0.0,Good
148,1,4.06,creditcard,0.0,Good
537,1,5.03,creditcard,387.89,Good
1573,2,4.9,creditcard,1572.57,Good
1360,1,4.75,creditcard,0.0,Good
1848,1,4.92,paypal,0.0,Good
2000,1,4.06,paypal,108.09,Good
548,1,4.92,creditcard,392.1,Good
111,1,4.75,creditcard,110.04,Good
168,1,4.74,creditcard,167.73,Good
599,1,4.92,creditcard,368.15,Good
1973,1,3.48,creditcard,1.6,Good
750,2,4.84,creditcard,749.62,Good
1897,1,4.97,creditcard,885.02,Good
1850,1,3.58,creditcard,1498.4,Good
468,1,4.75,paypal,0.0,Good
136,1,4.96,storecredit,135.8,Good
114,1,4.75,creditcard,113.02,Good
1780,1,4.92,creditcard,468.71,Good
1295,1,4.52,creditcard,738.06,Good
44,1,4.75,creditcard,0.0,Good
1177,1,4.88,creditcard,0.0,Good
753,1,4.92,creditcard,0.0,Good
21,1,4.92,creditcard,0.0,Good
2000,1,3.48,paypal,342.48,Good
46,1,4.52,creditcard,45.07,Good
58,1,4.74,creditcard,57.5,Good
1058,1,2.6,creditcard,145.14,Good
1982,1,4.06,creditcard,3.87,Good
3,1,5.04,creditcard,0.0,Good
2000,1,4.75,storecredit,1.0,Good
656,1,4.52,creditcard,0.0,Good
193,1,4.92,storecredit,0.0,Good
2000,1,5.03,storecredit,194.02,Good
1002,1,4.89,paypal,0.0,Good
2000,1,3.48,creditcard,218.54,Good
1104,1,4.46,creditcard,0.0,Good
527,1,5.04,creditcard,83.86,Good
1585,1,4.88,creditcard,545.2,Good
76,1,4.74,storecredit,0.03,Good
1322,1,4.74,creditcard,500.54,Good
76,1,4.84,creditcard,0.0,Good
405,1,4.92,paypal,0.0,Good
1797,1,4.97,creditcard,150.71,Good
1218,1,4.75,paypal,0.0,Good
506,1,3.58,creditcard,0.0,Good
226,1,4.92,creditcard,8.11,Good
250,1,4.96,creditcard,36.0,Good
95,1,4.88,creditcard,0.01,Good
82,1,4.97,creditcard,81.82,Good
276,1,4.89,paypal,275.02,Good
1739,1,4.52,creditcard,0.01,Good
414,1,4.97,paypal,180.96,Good
2000,1,4.89,creditcard,251.71,Good
57,1,4.75,creditcard,0.0,Good
2000,1,4.46,creditcard,16.05,Good
956,1,4.92,paypal,925.16,Good
2000,1,4.84,creditcard,12.05,Good
1050,1,4.96,paypal,184.12,Good
301,1,5.02,paypal,300.27,Good
11,1,4.84,paypal,0.0,Good
1023,1,4.92,creditcard,0.0,Good
213,1,5.04,creditcard,0.0,Good
1315,1,4.89,creditcard,0.0,Good
17,1,4.97,storecredit,0.0,Good
985,1,5.02,creditcard,0.0,Good
1798,1,3.48,creditcard,0.0,Good
83,1,4.52,creditcard,82.75,Good
1533,1,5.04,creditcard,0.0,Good
195,1,4.84,paypal,0.0,Good
39,1,4.84,creditcard,0.0,Good
1660,1,4.92,creditcard,0.0,Good
50,1,5.04,paypal,49.29,Good
1833,1,4.84,creditcard,2.15,Good
714,1,4.92,paypal,164.0,Good
441,1,4.75,creditcard,0.0,Good
1015,1,2.95,paypal,306.35,Good
5,1,4.88,creditcard,4.38,Good
