iter	Passed	Remaining
0	12	11996
1	21	10581
2	27	9143
3	34	8595
4	41	8193
5	46	7658
6	53	7537
7	58	7315
8	65	7244
9	70	7017
10	77	6958
11	85	6998
12	91	6980
13	98	6966
14	103	6791
15	109	6741
16	117	6805
17	123	6751
18	131	6783
19	137	6743
20	143	6696
21	151	6744
22	157	6674
23	163	6668
24	169	6603
25	175	6572
26	181	6538
27	186	6471
28	192	6446
29	198	6420
30	203	6356
31	207	6291
32	213	6261
33	219	6236
34	227	6270
35	233	6257
36	238	6196
37	243	6157
38	249	6142
39	253	6093
40	261	6108
41	265	6064
42	288	6423
43	300	6535
44	308	6540
45	317	6579
46	340	6901
47	353	7006
48	359	6983
49	370	7040
50	386	7195
51	391	7144
52	402	7197
53	419	7348
54	425	7313
55	435	7340
56	441	7302
57	452	7341
58	459	7326
59	467	7316
60	474	7303
61	484	7322
62	497	7394
63	504	7385
64	512	7376
65	518	7333
66	523	7288
67	528	7243
68	532	7190
69	538	7147
70	543	7117
71	548	7066
72	552	7016
73	561	7030
74	567	6999
75	583	7092
76	590	7081
77	603	7130
78	610	7117
79	616	7091
80	623	7079
81	640	7170
82	649	7175
83	656	7162
84	661	7119
85	666	7081
86	671	7050
87	676	7007
88	680	6965
89	684	6921
90	689	6889
91	694	6853
92	698	6814
93	704	6787
94	708	6747
95	712	6711
96	716	6674
97	722	6646
98	726	6615
99	731	6581
100	736	6555
101	741	6530
102	746	6505
103	752	6482
104	756	6451
105	761	6422
106	765	6389
107	770	6365
108	774	6334
109	779	6304
110	784	6283
111	789	6260
112	793	6231
113	798	6205
114	804	6187
115	808	6161
116	813	6137
117	819	6125
118	823	6098
119	828	6076
120	834	6063
121	839	6039
122	843	6015
123	848	5992
124	853	5977
125	859	5960
126	864	5941
127	871	5936
128	876	5915
129	881	5901
130	887	5886
131	892	5870
132	897	5853
133	904	5845
134	911	5839
135	920	5850
136	926	5837
137	939	5868
138	947	5869
139	956	5873
140	961	5860
141	969	5860
142	976	5851
143	984	5853
144	990	5838
145	995	5822
146	1003	5822
147	1009	5810
148	1017	5812
149	1023	5801
150	1032	5803
151	1038	5794
152	1045	5789
153	1051	5778
154	1058	5768
155	1066	5767
156	1070	5749
157	1075	5732
158	1083	5731
159	1088	5713
160	1093	5698
161	1098	5682
162	1103	5664
163	1107	5645
164	1113	5635
165	1118	5617
166	1122	5599
167	1129	5592
168	1133	5574
169	1137	5555
170	1143	5543
171	1148	5528
172	1152	5511
173	1157	5495
174	1163	5484
175	1167	5464
176	1171	5447
177	1177	5438
178	1181	5421
179	1186	5405
180	1192	5396
181	1197	5380
182	1201	5364
183	1205	5346
184	1211	5335
185	1216	5322
186	1220	5307
187	1226	5297
188	1230	5281
189	1235	5265
190	1239	5251
191	1244	5237
192	1249	5222
193	1253	5207
194	1259	5197
195	1263	5181
196	1268	5169
197	1274	5162
198	1278	5147
199	1282	5131
200	1287	5117
201	1293	5109
202	1297	5095
203	1302	5080
204	1308	5074
205	1312	5058
206	1316	5044
207	1324	5041
208	1328	5027
209	1332	5012
210	1337	5002
211	1342	4989
212	1347	4977
213	1351	4963
214	1357	4956
215	1361	4942
216	1366	4930
217	1372	4924
218	1378	4915
219	1385	4910
220	1392	4910
221	1397	4898
222	1402	4886
223	1409	4882
224	1414	4872
225	1419	4860
226	1426	4856
227	1430	4843
228	1437	4841
229	1443	4833
230	1448	4820
231	1455	4819
232	1463	4816
233	1471	4815
234	1475	4803
235	1479	4791
236	1487	4789
237	1492	4777
238	1496	4764
239	1503	4762
240	1507	4748
241	1512	4736
242	1519	4733
243	1523	4721
244	1528	4709
245	1533	4701
246	1538	4689
247	1543	4679
248	1547	4668
249	1553	4659
250	1557	4646
251	1561	4634
252	1567	4628
253	1571	4616
254	1576	4604
255	1580	4594
256	1585	4585
257	1591	4577
258	1598	4573
259	1604	4566
260	1608	4555
261	1614	4549
262	1620	4542
263	1625	4530
264	1630	4522
265	1635	4512
266	1639	4501
267	1643	4489
268	1649	4481
269	1653	4470
270	1658	4460
271	1664	4455
272	1669	4445
273	1673	4434
274	1679	4428
275	1684	4419
276	1688	4408
277	1693	4397
278	1700	4393
279	1704	4383
280	1709	4374
281	1719	4377
282	1724	4369
283	1730	4363
284	1735	4354
285	1740	4345
286	1746	4339
287	1752	4333
288	1757	4324
289	1764	4319
290	1768	4309
291	1773	4300
292	1780	4296
293	1785	4287
294	1789	4277
295	1797	4274
296	1802	4267
297	1807	4258
298	1814	4254
299	1819	4245
300	1823	4234
301	1830	4231
302	1835	4222
303	1840	4212
304	1848	4211
305	1852	4201
306	1857	4193
307	1863	4186
308	1867	4176
309	1872	4166
310	1877	4159
311	1881	4149
312	1886	4140
313	1891	4132
314	1895	4123
315	1900	4113
316	1904	4103
317	1910	4096
318	1914	4086
319	1918	4077
320	1924	4070
321	1929	4061
322	1933	4052
323	1941	4050
324	1947	4045
325	1953	4039
326	1960	4034
327	1964	4025
328	1969	4016
329	1976	4011
330	1981	4003
331	1985	3995
332	1993	3992
333	1997	3983
334	2002	3974
335	2009	3971
336	2014	3963
337	2018	3954
338	2026	3951
339	2031	3942
340	2035	3933
341	2042	3930
342	2047	3921
343	2051	3912
344	2058	3908
345	2063	3899
346	2067	3890
347	2074	3886
348	2079	3878
349	2083	3869
350	2089	3863
351	2094	3855
352	2098	3846
353	2105	3842
354	2110	3833
355	2114	3825
356	2120	3818
357	2124	3809
358	2128	3800
359	2133	3792
360	2138	3784
361	2142	3775
362	2147	3768
363	2153	3763
364	2158	3755
365	2162	3746
366	2167	3739
367	2172	3730
368	2176	3721
369	2180	3712
370	2185	3706
371	2190	3698
372	2196	3691
373	2201	3685
374	2205	3676
375	2210	3667
376	2214	3659
377	2219	3651
378	2223	3643
379	2227	3634
380	2232	3627
381	2237	3619
382	2241	3611
383	2246	3603
384	2251	3596
385	2255	3587
386	2259	3579
387	2265	3573
388	2269	3565
389	2274	3556
390	2278	3548
391	2283	3541
392	2287	3533
393	2291	3524
394	2297	3518
395	2301	3510
396	2305	3502
397	2309	3493
398	2315	3487
399	2319	3479
400	2323	3470
401	2327	3462
402	2332	3455
403	2337	3447
404	2341	3439
405	2347	3434
406	2351	3426
407	2356	3418
408	2362	3414
409	2367	3407
410	2372	3399
411	2376	3392
412	2383	3387
413	2388	3380
414	2392	3372
415	2398	3367
416	2402	3359
417	2407	3351
418	2413	3346
419	2418	3340
420	2423	3332
421	2429	3327
422	2434	3320
423	2438	3312
424	2443	3306
425	2449	3300
426	2453	3292
427	2458	3285
428	2463	3279
429	2468	3272
430	2472	3264
431	2478	3258
432	2482	3250
433	2486	3243
434	2493	3238
435	2499	3233
436	2503	3225
437	2509	3219
438	2513	3212
439	2518	3205
440	2522	3197
441	2527	3191
442	2531	3183
443	2536	3176
444	2541	3170
445	2546	3162
446	2550	3155
447	2554	3147
448	2559	3141
449	2564	3133
450	2568	3126
451	2572	3119
452	2577	3112
453	2581	3104
454	2585	3097
455	2590	3090
456	2595	3083
457	2600	3077
458	2604	3069
459	2609	3063
460	2614	3056
461	2618	3049
462	2623	3042
463	2627	3035
464	2632	3028
465	2636	3021
466	2641	3015
467	2646	3008
468	2650	3000
469	2655	2994
470	2659	2987
471	2664	2980
472	2668	2973
473	2673	2966
474	2677	2959
475	2682	2952
476	2687	2946
477	2692	2940
478	2697	2934
479	2703	2929
480	2709	2923
481	2714	2917
482	2719	2911
483	2725	2905
484	2729	2898
485	2733	2891
486	2739	2886
487	2744	2878
488	2748	2872
489	2754	2866
490	2758	2859
491	2762	2852
492	2767	2846
493	2772	2839
494	2776	2832
495	2780	2825
496	2786	2820
497	2790	2813
498	2795	2806
499	2800	2800
500	2805	2793
501	2809	2787
502	2813	2780
503	2819	2774
504	2823	2767
505	2827	2760
506	2833	2754
507	2837	2748
508	2841	2741
509	2846	2734
510	2851	2728
511	2856	2722
512	2860	2715
513	2865	2709
514	2870	2703
515	2875	2696
516	2881	2692
517	2886	2686
518	2890	2679
519	2895	2672
520	2900	2666
521	2904	2659
522	2909	2653
523	2913	2646
524	2918	2640
525	2924	2634
526	2928	2628
527	2933	2622
528	2938	2616
529	2943	2610
530	2949	2605
531	2955	2599
532	2960	2593
