AccountAgeDays,NumItems,localTime,PaymentMethod,PaymentMethodAgeDays,Label
29,1,4.75,paypal,28.20,0
725,1,4.74,storecredit,0.00,0
845,1,4.92,creditcard,0.00,0
503,1,4.89,creditcard,0.00,0
2000,1,5.04,creditcard,0.00,0
119,1,4.96,paypal,0.00,0
2000,1,4.92,paypal,0.00,0
371,1,4.88,creditcard,0.00,0
2000,1,4.75,creditcard,0.00,0
4,1,4.46,creditcard,0.00,0
26,1,4.75,paypal,0.00,0
2000,1,4.51,creditcard,0.00,0
3,1,4.96,creditcard,2.69,0
3,1,4.92,creditcard,2.07,0
23,1,4.75,creditcard,0.00,0
5,1,4.92,paypal,4.04,0
1208,1,4.84,creditcard,0.00,0
11,1,4.92,creditcard,10.87,0
123,1,4.75,creditcard,0.00,0
2000,1,4.90,creditcard,248.77,0
1672,1,5.03,creditcard,978.75,0
36,1,4.74,creditcard,0.01,0
16,1,4.89,creditcard,15.80,0
278,1,5.03,creditcard,6.89,0
223,1,4.75,creditcard,0.00,0
30,1,4.06,creditcard,0.00,0
2,1,4.92,creditcard,0.00,0
2000,1,3.48,creditcard,503.43,0
1936,1,4.06,creditcard,635.64,0
2000,1,4.92,creditcard,948.81,0
2,1,4.51,creditcard,1.20,0
2000,1,4.84,creditcard,0.00,0
998,1,4.92,creditcard,0.00,0
914,1,4.46,creditcard,0.01,0
23,1,2.60,creditcard,0.00,0
2000,1,5.02,creditcard,0.00,0
2,1,4.84,creditcard,1.70,0
19,1,4.51,paypal,0.00,0
18,1,4.97,creditcard,0.00,0
1562,1,4.51,creditcard,981.35,0
288,1,4.75,paypal,0.00,0
310,1,4.97,creditcard,96.94,0
2,1,4.92,creditcard,0.00,0
2000,1,4.97,storecredit,0.00,0
2,1,5.03,creditcard,1.10,0
2000,1,4.52,paypal,0.00,0
1144,1,4.88,creditcard,1142.91,0
1743,1,4.84,creditcard,367.81,0
817,1,4.96,creditcard,0.00,0
2000,1,4.74,creditcard,0.01,0
179,1,4.92,storecredit,0.00,0
