AccountAgeDays,NumItems,localTime,PaymentMethod,PaymentMethodAgeDays,Label
29,1,4.75,paypal,28.2,Good
725,1,4.74,storecredit,0.0,Good
845,1,4.92,creditcard,0.0,Good
503,1,4.89,creditcard,0.0,Good
2000,1,5.04,creditcard,0.0,Good
119,1,4.96,paypal,0.0,Good
2000,1,4.92,paypal,0.0,Good
371,1,4.88,creditcard,0.0,Good
2000,1,4.75,creditcard,0.0,Good
4,1,4.46,creditcard,0.0,Good
26,1,4.75,paypal,0.0,Good
2000,1,4.51,creditcard,0.0,Good
3,1,4.96,creditcard,2.69,Good
3,1,4.92,creditcard,2.07,Good
23,1,4.75,creditcard,0.0,Good
5,1,4.92,paypal,4.04,Good
1208,1,4.84,creditcard,0.0,Good
11,1,4.92,creditcard,10.87,Good
123,1,4.75,creditcard,0.0,Good
2000,1,4.9,creditcard,248.77,Good
1672,1,5.03,creditcard,978.75,Good
36,1,4.74,creditcard,0.01,Good
16,1,4.89,creditcard,15.8,Good
278,1,5.03,creditcard,6.89,Good
223,1,4.75,creditcard,0.0,Good
30,1,4.06,creditcard,0.0,Good
2,1,4.92,creditcard,0.0,Good
2000,1,3.48,creditcard,503.43,Good
1936,1,4.06,creditcard,635.64,Good
2000,1,4.92,creditcard,948.81,Good
2,1,4.51,creditcard,1.2,Good
2000,1,4.84,creditcard,0.0,Good
998,1,4.92,creditcard,0.0,Good
914,1,4.46,creditcard,0.01,Good
23,1,2.6,creditcard,0.0,Good
2000,1,5.02,creditcard,0.0,Good
2,1,4.84,creditcard,1.7,Good
19,1,4.51,paypal,0.0,Good
18,1,4.97,creditcard,0.0,Good
1562,1,4.51,creditcard,981.35,Good
288,1,4.75,paypal,0.0,Good
310,1,4.97,creditcard,96.94,Good
2000,1,4.97,storecredit,0.0,Good
2,1,5.03,creditcard,1.1,Good
2000,1,4.52,paypal,0.0,Good
1144,1,4.88,creditcard,1142.91,Good
1743,1,4.84,creditcard,367.81,Good
817,1,4.96,creditcard,0.0,Good
2000,1,4.74,creditcard,0.01,Good
179,1,4.92,storecredit,0.0,Good
2000,1,4.89,storecredit,212.14,Good
204,1,4.89,creditcard,0.04,Good
2000,1,4.75,paypal,641.32,Good
2000,1,4.97,creditcard,348.31,Good
546,1,4.9,paypal,0.0,Good
2000,1,4.92,paypal,597.17,Good
1409,1,4.96,creditcard,0.0,Good
210,1,4.88,creditcard,0.0,Good
2000,1,4.75,paypal,1034.67,Good
107,1,4.96,creditcard,4.11,Good
406,1,4.84,creditcard,405.14,Good
34,1,4.96,creditcard,33.91,Good
200,1,2.95,creditcard,199.62,Good
638,1,4.96,creditcard,0.0,Good
32,1,4.06,paypal,23.43,Good
684,1,4.97,paypal,316.04,Good
2000,1,4.52,creditcard,708.97,Good
1657,1,4.92,creditcard,26.22,Good
1133,1,4.92,creditcard,65.86,Good
4,1,5.02,creditcard,3.37,Good
599,1,4.96,creditcard,0.0,Good
2000,1,5.03,paypal,544.97,Good
162,2,4.75,creditcard,161.95,Good
1407,1,4.96,creditcard,0.0,Good
535,1,4.74,creditcard,37.43,Good
735,1,4.75,creditcard,0.0,Good
1657,1,3.07,paypal,244.56,Good
3,1,4.88,creditcard,2.78,Good
1397,1,4.75,creditcard,342.89,Good
222,1,4.92,creditcard,221.26,Good
913,1,4.9,creditcard,0.0,Good
1843,1,5.04,creditcard,0.21,Good
19,1,4.89,creditcard,0.0,Good
2000,1,5.02,creditcard,225.32,Good
2000,1,4.74,paypal,259.13,Good
1014,1,4.97,creditcard,666.01,Good
964,1,4.88,creditcard,0.0,Good
66,1,4.75,paypal,0.95,Good
544,1,4.97,paypal,0.0,Good
1866,1,4.74,paypal,145.46,Good
2000,1,3.58,creditcard,777.13,Good
601,1,3.95,creditcard,0.0,Good
954,1,4.89,creditcard,0.69,Good
211,1,4.51,storecredit,202.08,Good
2000,1,4.88,creditcard,0.0,Good
883,3,4.51,paypal,424.28,Good
1183,1,4.96,creditcard,0.0,Good
2000,1,5.02,creditcard,372.04,Good
605,1,4.92,creditcard,0.0,Good
1625,1,4.9,creditcard,0.0,Good
1933,1,3.58,creditcard,82.03,Good
3,1,4.84,creditcard,0.0,Good
2000,1,4.96,paypal,0.0,Good
1547,1,4.96,paypal,0.0,Good
54,1,4.96,creditcard,0.0,Good
279,1,4.75,creditcard,113.79,Good
1,4,4.84,creditcard,0.0,Fraud
89,1,4.52,paypal,88.05,Good
1767,1,5.04,creditcard,754.88,Good
1609,1,4.97,storecredit,0.06,Good
261,1,4.9,creditcard,254.73,Good
2000,1,4.06,paypal,0.0,Good
978,2,4.88,creditcard,0.0,Good
1858,1,4.96,creditcard,0.01,Good
3,1,5.03,paypal,1.98,Good
2000,1,5.04,paypal,0.0,Good
150,1,5.04,creditcard,86.15,Good
182,1,4.52,storecredit,174.56,Good
931,1,3.58,creditcard,0.0,Good
158,1,4.46,creditcard,0.0,Good
2000,1,4.96,creditcard,718.77,Good
2000,1,4.97,paypal,0.0,Good
1162,1,4.88,paypal,0.0,Good
1208,1,4.96,creditcard,465.83,Good
127,1,5.04,creditcard,0.0,Good
13,1,4.92,creditcard,0.0,Good
1670,1,4.75,paypal,0.0,Good
2000,1,4.84,paypal,101.89,Good
444,1,4.84,paypal,99.12,Good
21,1,4.9,creditcard,20.9,Good
19,2,4.96,creditcard,0.0,Good
66,1,4.74,creditcard,16.83,Good
2000,1,4.75,storecredit,0.0,Good
86,1,4.52,creditcard,85.37,Good
1896,1,4.92,creditcard,0.0,Good
273,1,5.03,creditcard,0.0,Good
43,1,4.88,creditcard,0.0,Good
154,1,4.9,creditcard,0.0,Good
497,1,4.97,storecredit,494.97,Good
494,1,4.96,paypal,0.05,Good
1799,1,4.92,paypal,1763.0,Good
2000,1,3.48,creditcard,502.38,Good
541,1,4.06,creditcard,0.0,Good
369,1,4.92,creditcard,0.0,Good
1075,1,3.07,creditcard,8.1,Good
2000,1,5.02,paypal,129.93,Good
53,1,5.04,paypal,52.24,Good
2000,1,4.92,creditcard,327.9,Good
824,1,4.06,creditcard,0.0,Good
3,1,4.51,creditcard,0.0,Good
604,1,4.88,creditcard,0.0,Good
1285,1,4.52,paypal,26.01,Good
279,1,4.06,creditcard,0.0,Good
1477,1,5.02,paypal,0.0,Good
645,1,3.95,paypal,555.34,Good
2,1,4.52,creditcard,1.15,Good
131,1,4.89,creditcard,0.0,Good
2000,1,4.46,paypal,0.0,Good
37,1,4.51,creditcard,36.44,Good
3,1,4.92,storecredit,0.0,Good
2000,1,2.95,creditcard,0.0,Good
2000,1,5.02,creditcard,0.01,Good
125,1,4.9,paypal,0.0,Good
1535,1,5.02,paypal,0.01,Good
1305,1,5.04,creditcard,1261.11,Good
2000,1,4.96,paypal,711.09,Good
2000,4,4.74,creditcard,0.0,Good
32,1,4.96,creditcard,29.18,Good
2000,1,4.89,paypal,0.42,Good
106,1,4.97,creditcard,0.0,Good
1672,1,4.92,paypal,1568.8,Good
1900,1,5.03,creditcard,0.01,Good
911,1,4.88,paypal,0.0,Good
66,1,4.06,paypal,0.0,Good
13,1,4.92,creditcard,12.2,Good
2000,5,2.6,creditcard,217.59,Good
1394,5,4.74,creditcard,549.98,Good
1991,1,4.89,creditcard,1394.42,Good
31,1,4.51,creditcard,30.23,Good
102,1,4.84,creditcard,0.0,Good
1941,1,4.92,creditcard,2.89,Good
1460,1,3.07,paypal,0.0,Good
664,1,4.89,paypal,0.0,Good
1979,1,4.51,storecredit,455.57,Good
2000,1,4.46,paypal,1.54,Good
569,1,4.88,creditcard,0.01,Good
171,1,5.03,creditcard,0.0,Good
1392,1,4.97,creditcard,0.0,Good
639,1,5.02,creditcard,627.98,Good
14,1,4.92,creditcard,0.0,Good
776,1,4.89,creditcard,0.0,Good
906,1,5.04,creditcard,0.0,Good
4,1,4.92,creditcard,0.0,Good
2000,1,4.92,creditcard,264.76,Good
131,1,4.96,paypal,130.19,Good
49,1,4.89,creditcard,0.0,Good
2,1,4.84,creditcard,1.04,Good
145,1,4.75,creditcard,144.52,Good
91,1,4.51,creditcard,0.0,Good
17,1,5.03,creditcard,0.0,Good
151,1,4.97,creditcard,0.0,Good
553,1,4.97,creditcard,4.1,Good
779,3,4.06,creditcard,128.03,Good
1306,1,4.84,creditcard,0.0,Good
2000,1,5.02,creditcard,293.99,Good
877,1,4.52,creditcard,682.83,Good
2000,1,4.75,paypal,0.0,Good
949,1,4.97,creditcard,0.0,Good
367,1,5.02,creditcard,0.0,Good
2000,1,4.92,creditcard,0.0,Good
1602,1,4.92,creditcard,0.01,Good
2000,1,4.52,creditcard,277.09,Good
1536,1,4.74,creditcard,966.35,Good
2000,1,4.75,paypal,2.92,Good
526,1,4.89,creditcard,25.95,Good
51,1,4.84,creditcard,0.0,Good
1289,1,5.03,creditcard,251.15,Good
38,1,4.92,creditcard,0.0,Good
235,1,4.92,storecredit,0.0,Good
1842,1,4.88,creditcard,0.78,Good
2,1,4.75,creditcard,1.03,Good
39,1,5.02,paypal,0.0,Good
529,1,4.9,creditcard,508.5,Good
2,1,3.58,creditcard,1.12,Good
1994,1,4.92,creditcard,0.0,Good
4,1,2.6,paypal,3.46,Good
2000,1,4.9,paypal,944.69,Good
37,1,4.51,paypal,0.0,Good
2000,1,4.88,creditcard,101.16,Good
1612,1,4.51,paypal,0.49,Good
17,1,5.02,paypal,16.07,Good
1615,1,4.75,paypal,0.0,Good
19,1,5.04,storecredit,18.21,Good
2000,1,4.89,creditcard,253.28,Good
884,1,4.97,creditcard,0.02,Good
1,1,4.84,paypal,0.0,Fraud
190,1,5.03,storecredit,97.04,Good
130,1,4.51,creditcard,129.23,Good
2000,1,4.74,paypal,0.0,Good
3,1,4.75,creditcard,0.0,Good
8,1,5.04,creditcard,0.0,Good
295,2,5.04,creditcard,0.0,Good
352,1,4.75,creditcard,351.86,Good
2000,1,4.75,paypal,3.06,Good
1603,1,4.88,paypal,0.0,Good
322,1,4.75,creditcard,0.0,Good
114,1,4.88,paypal,0.0,Good
1981,1,4.92,creditcard,0.0,Good
3,1,4.52,creditcard,2.04,Good
1173,1,5.02,creditcard,0.0,Good
125,1,4.92,creditcard,124.19,Good
635,1,4.92,creditcard,633.88,Good
2000,1,4.88,storecredit,0.0,Good
54,1,4.89,creditcard,0.0,Good
54,1,4.84,creditcard,0.0,Good
633,1,5.03,creditcard,0.0,Good
8,1,4.75,creditcard,0.0,Good
256,1,4.96,paypal,0.0,Good
145,1,4.89,creditcard,0.0,Good
73,2,4.52,creditcard,72.38,Good
466,1,4.06,creditcard,0.0,Good
1608,1,4.92,creditcard,478.61,Good
1783,1,4.52,creditcard,0.0,Good
989,1,4.84,creditcard,988.67,Good
1292,1,4.92,creditcard,0.0,Good
2,1,5.03,paypal,1.03,Good
1597,1,5.02,creditcard,118.99,Good
578,1,3.58,creditcard,486.19,Good
105,1,5.04,paypal,104.18,Good
2000,2,4.75,creditcard,0.0,Good
1,1,4.92,creditcard,0.0,Fraud
2000,1,3.48,creditcard,0.44,Good
211,1,2.6,creditcard,210.37,Good
167,1,4.92,creditcard,166.9,Good
140,1,5.03,creditcard,139.03,Good
41,1,4.9,creditcard,8.59,Good
179,1,4.92,creditcard,0.0,Good
563,1,4.92,creditcard,0.0,Good
190,1,4.9,creditcard,1.52,Good
33,1,4.52,creditcard,32.1,Good
549,1,4.9,paypal,0.45,Good
2000,1,4.52,creditcard,302.15,Good
1049,1,5.03,creditcard,0.0,Good
2000,1,4.88,creditcard,4.95,Good
611,1,4.9,creditcard,103.59,Good
10,1,4.84,creditcard,0.0,Good
1759,1,4.06,creditcard,477.53,Good
1679,1,4.75,paypal,0.0,Good
3,1,4.89,creditcard,2.98,Good
15,1,4.84,creditcard,14.38,Good
8,1,4.52,paypal,7.05,Good
842,1,4.74,creditcard,833.56,Good
877,1,4.75,creditcard,0.0,Good
1326,1,5.03,creditcard,0.0,Good
2,1,3.48,creditcard,1.11,Good
2000,1,4.92,creditcard,210.03,Good
798,1,4.75,creditcard,0.0,Good
211,1,4.84,creditcard,0.01,Good
804,1,5.04,creditcard,0.0,Good
987,1,4.84,paypal,0.05,Good
1089,1,3.95,creditcard,1088.74,Good
205,1,4.75,creditcard,0.0,Good
1350,1,3.95,paypal,0.01,Good
2000,1,4.92,paypal,366.69,Good
2,1,4.96,creditcard,1.75,Good
785,2,4.75,creditcard,85.87,Good
2,1,4.97,paypal,0.0,Good
606,1,4.51,creditcard,0.0,Good
943,1,4.97,creditcard,0.0,Good
312,1,4.88,creditcard,0.0,Good
442,1,4.97,paypal,0.0,Good
444,1,4.89,creditcard,74.0,Good
25,1,4.84,creditcard,24.07,Good
2000,1,4.52,creditcard,1376.67,Good
14,1,4.46,creditcard,13.9,Good
641,1,4.75,creditcard,0.0,Good
2000,1,5.02,paypal,170.18,Good
474,1,4.74,paypal,0.0,Good
2000,1,4.75,creditcard,160.62,Good
1519,1,4.84,paypal,0.0,Good
299,1,4.51,paypal,0.0,Good
739,1,4.06,paypal,0.01,Good
239,1,4.89,creditcard,0.0,Good
169,1,4.88,creditcard,168.02,Good
148,1,4.92,storecredit,143.36,Good
80,1,4.88,paypal,0.0,Good
922,1,4.84,creditcard,0.0,Good
955,2,4.46,creditcard,0.0,Good
1413,1,4.06,creditcard,0.05,Good
1131,1,4.89,creditcard,0.0,Good
674,1,4.84,creditcard,42.99,Good
2000,1,4.97,creditcard,3.34,Good
2000,1,4.96,creditcard,195.9,Good
2000,1,4.9,creditcard,0.0,Good
290,1,4.06,creditcard,288.98,Good
1767,1,4.46,creditcard,32.44,Good
4,1,4.88,creditcard,0.0,Good
3,1,4.88,paypal,0.0,Good
365,1,4.75,creditcard,0.0,Good
823,1,5.02,creditcard,0.11,Good
1443,1,4.75,creditcard,0.0,Good
2,1,4.46,creditcard,1.72,Good
597,1,4.89,paypal,212.1,Good
1477,1,4.75,paypal,64.61,Good
2000,1,4.75,paypal,0.07,Good
44,1,4.92,creditcard,0.0,Good
2000,1,4.52,creditcard,0.0,Good
2000,1,4.06,creditcard,406.55,Good
2000,1,5.03,creditcard,0.0,Good
1,1,4.52,paypal,0.0,Fraud
2,1,4.75,creditcard,1.01,Good
2000,1,4.88,paypal,2.06,Good
5,1,4.89,creditcard,0.03,Good
8,2,4.51,creditcard,0.0,Good
2000,1,4.92,creditcard,1830.76,Good
978,1,3.07,creditcard,0.01,Good
132,1,4.52,creditcard,0.98,Good
324,1,4.89,creditcard,0.0,Good
1691,1,4.74,creditcard,1579.56,Good
2000,1,4.96,paypal,969.94,Good
212,1,3.95,creditcard,0.0,Good
6,2,4.92,creditcard,0.0,Good
531,1,4.9,paypal,121.63,Good
136,1,5.02,creditcard,0.0,Good
1307,1,4.51,creditcard,0.0,Good
2000,1,4.74,creditcard,625.88,Good
897,1,4.51,creditcard,896.96,Good
64,1,3.95,creditcard,0.63,Good
1611,1,4.96,creditcard,0.0,Good
119,1,4.89,creditcard,0.0,Good
12,1,5.03,creditcard,0.0,Good
695,1,4.51,creditcard,0.0,Good
1073,1,4.92,creditcard,49.85,Good
2000,1,4.74,creditcard,412.56,Good
4,1,4.75,paypal,0.0,Good
272,2,5.04,creditcard,0.0,Good
1992,1,5.02,creditcard,0.0,Good
